ID,TYPE,NAME (en),CAPACITY,DESCRIPTION (en),BAGGAGES,BAGGAGES TYPE,EXTRA PASSENGERS
3193,auto,CAR - CLASSIC SERVICE 3 pax,3,,3,P,0
3198,auto,MINIBUS - CLASSIC SERVICE MAX 8 PAX,8,,8,P,0
131,auto,MERCEDES SPRINTER 17P,17,,17,T,0
160,auto,RANGE ROVER 4X4 4 P,4,,4,P,0
2072,auto,EXECUTIVE MINIVAN 8 PAX,8,,8,T,0
150,auto,SHUTTLE BUS 10 P,10,,10,T,0
170,auto,FIAT SCUDO 120 8P,8,,8,P,0
171,auto,BUS 10 SEATER PRIVATE,10,,10,T,0
39,auto,BUS 26,26,,26,T,0
41,auto,BUS 16,16,,16,T,0
45,auto,BUS- 30P,30,,30,T,0
47,auto,SEDAN- 3 PAX,3,,3,T,0
52,auto,FORD TOURAN- 3P,3,,3,T,0
2182,auto,STANDARD CAR MAX 10 P,10,,10,P,0
3192,auto,Standard Car + Japanese assistant,3,"Our experienced assistant will greet you at the arrival hall or pick-you up at the arrival flight terminal and escort you to your destination, providing assistance throughout the way. Check-in assistance at the airport or hotel are also provided. Duration of the service:Up to 2 hours from landing time.",3,P,0
85,auto,STANDARD CAR- 3,3,,3,T,0
86,auto,PEUGEOT 406,4,,4,T,0
1,auto,Taxi 3PAX,3,,3,T,0
2,boat,WATER TAXI ONLY 10PAX,10,,10,T,0
3,auto,MERCEDES  S CLASS 3PAX,3,,3,T,0
102,auto,BUS 15P,15,,15,P,0
129,auto,LIMOUSINE 5 P,5,,5,T,0
2160,auto,MERCEDES VIANO- 7P,7,,7,P,0
2198,auto,QUALITY SERVICE MAX 4 PAX,4,,4,P,0
137,auto,MINIVAN 11P,11,,11,T,0
2525,auto,BUSINESS CAR 3 PAX,3,,3,P,0
2594,auto,AUTO ANNI 50- TRABANT,3,,3,P,0
2179,auto,STANDARD CAR MAX 6 P,6,,6,P,0
2183,auto,STANDARD CAR MAX 12P,12,,12,P,0
2246,auto,QUALITY SERVICE MAX 8 PAX,8,,8,P,0
2184,auto,STANDARD CAR MAX 14P,14,,14,P,0
2187,auto,STANDARD PRIVATE VEHICLE ,8,,8,P,0
